"avgAnnCount"	"avgDeathsPerYear"	"TARGET_deathRate"	"incidenceRate"	"medIncome"	"popEst2015"	"povertyPercent"	"studyPerCap"	"binnedInc"	"MedianAge"	"MedianAgeMale"	"MedianAgeFemale"	"Geography"	"AvgHouseholdSize"	"PercentMarried"	"PctNoHS18_24"	"PctHS18_24"	"PctSomeCol18_24"	"PctBachDeg18_24"	"PctHS25_Over"	"PctBachDeg25_Over"	"PctEmployed16_Over"	"PctUnemployed16_Over"	"PctPrivateCoverage"	"PctPrivateCoverageAlone"	"PctEmpPrivCoverage"	"PctPublicCoverage"	"PctPublicCoverageAlone"	"PctWhite"	"PctBlack"	"PctAsian"	"PctOtherRace"	"PctMarriedHouseholds"	"BirthRate"
301	128	194	472.8	45235	54277	16.8	0	"(45201, 48021.6]"	39.7	38.5	40.8	"Coffee County, Tennessee"	2.49	53.8	16.2	46.2	32.9	4.7	39.2	11.7	51.8	8.8	62.1	46.3	39.3	39.1	21.2	90.79853315	1.923364766	0.972908247	1.972010178	51.38875768	4.540620142
1962.667684	91	160.9	453.5494221	52298	37075	9.6	80.91706001	"(51046.4, 54545.6]"	44.1	42.4	45.9	"Douglas County, Minnesota"	2.32	59.8	11.5	25.3	NA	9.1	29.9	17.8	63.8	4.5	77.9	56.8	46.3	35.2	14.1	97.72255598	0.576187875	0.243036592	0.174767886	56.35323607	6.190278355
6825	2231	159.6	495.7	69378	1242304	10	297.0287466	"(61494.5, 125635]"	40.8	39.4	42.1	"Oakland County, Michigan"	2.47	52.4	11.7	26.8	NA	15.1	20.1	25.4	61.4	7.5	79	63.8	56.8	26.4	11.3	76.30367718	13.88414668	6.268630495	0.665228145	50.74358294	5.31040591
33	11	136.8	421.9	41004	5767	19.4	0	"(40362.7, 42724.4]"	41.1	40.4	41.4	"Chouteau County, Montana"	2.5	54.6	28.9	24.8	NA	8.9	34.5	17.5	55	4.3	53.1	37.6	25	38.7	22.9	76.1058924	0.068317677	0.290350128	0.905209223	53.01573427	8.205128205
146	66	205.5	462.7	33428	25563	30.4	0	"[22640, 34218.1]"	39.1	37.3	40.5	"Marion County, Mississippi"	2.58	50.3	27.6	30.5	NA	3.4	36.5	8.7	45.5	10.4	48.3	36.1	31.2	45	27.1	65.7627638	32.29537707	0.011490291	0.578344632	48.83839413	7.310838446
1962.667684	48	146.4	453.5494221	49508	29029	13	723.4145165	"(48021.6, 51046.4]"	32.2	31	33.8	"Ellis County, Kansas"	2.35	45.1	2.9	17.7	NA	9.8	27.7	21.9	68.6	4.5	80	64.5	52.9	24.3	9.5	94.29172559	1.145103991	1.386541579	1.014037871	43.27677893	3.977583379
115	43	177.8	464	42823	16710	24.4	0	"(42724.4, 45201]"	47.6	45.8	49.4	"Greene County, Georgia"	2.4	52.7	19.9	37.8	NA	7.4	35.6	12.7	44.5	6.8	54.8	32.5	26.6	44.2	23	59.1941706	36.3419264	0.710305554	2.779988978	50.23110183	6.786885246
60	30	207.4	410	33202	10513	23.7	0	"[22640, 34218.1]"	41.3	40.1	42.9	"Scott County, Arkansas"	2.66	56.8	10.5	43.1	NA	1.2	39.6	6.9	49.9	10.9	56.8	39.7	33.7	44.6	24.7	89.48482061	0.165593376	2.861085557	2.5574977	56.99136868	3.421727973
181	81	207.8	475.2	36627	27910	20.8	0	"(34218.1, 37413.8]"	42.6	40.6	44.4	"Carroll County, Tennessee"	2.45	50.4	9.6	34.5	49.1	6.8	41.4	8.7	46.5	11.5	60.1	42.2	36	44	25.1	86.68923923	10.37985398	0.225725673	0.610164709	49.5254298	4.483306836
1511	661	190.7	463.1	41316	231900	18.9	12.93661061	"(40362.7, 42724.4]"	43.3	41.2	45.4	"Mahoning County, Ohio"	2.32	45.1	16.4	31.8	43.3	8.4	38.1	14.2	53.7	9.5	63.8	49	44.3	40.7	24.3	80.24642933	15.5024515	0.793860584	0.769985078	42.50741385	4.348522463
16	5	128.2	419.3	38645	1918	15.6	0	"(37413.8, 40362.7]"	52.3	50.9	52.5	"Garden County, Nebraska"	2.1	62.9	42	37.7	14.5	5.8	32.5	16.3	60.7	3.1	68.7	43.1	31.4	38.8	15	97.36697751	0.164563906	1.097092704	0.054854635	58.81656805	4.705882353
378	143	173.8	478.7	43104	60636	18.9	362.8207665	"(42724.4, 45201]"	41.6	41	42.2	"Otsego County, New York"	2.36	46.1	7.8	24.2	NA	5.7	34.5	14.2	54.3	7.1	71.5	54.3	47.9	36.3	18.6	94.03084741	1.918598023	1.247577322	0.786657763	48.46420714	4.59877366
622	198	143.4	462.5	53755	171512	11.3	204.0673539	"(51046.4, 54545.6]"	31.9	31.4	32.5	"Cass County, North Dakota"	2.29	46.8	7	20.7	NA	14.7	20.6	25.8	72.7	3.2	81.5	67.1	58.6	21.1	8.8	90.12553846	3.179076923	2.684923077	0.440615385	42.7300221	6.444608704
363	131	179.5	514.7	46908	61061	15.1	818.8532779	"(45201, 48021.6]"	38.7	37.9	39.6	"Knox County, Ohio"	2.53	52.3	12.3	31.8	NA	3.1	41.2	14.6	NA	6.6	68.5	NA	47.7	32	17.2	96.46416628	1.054029244	0.36063209	0.155727493	53.82925436	5.615628604
3395	1270	187.4	525.2	62867	563894	11	150.73755	"(61494.5, 125635]"	38.9	36.9	40.6	"Delaware County, Pennsylvania"	2.65	45.9	11	30.7	NA	12.1	31.8	21.1	59.8	8.2	76	NA	54.6	29	14.6	70.94553333	20.76687384	5.064066386	1.000564375	47.82182055	5.543922993
46	21	170.9	393.5	43453	13964	24.9	572.9017474	"(42724.4, 45201]"	25.2	25.6	24.8	"Clay County, South Dakota"	2.21	36.6	3.5	22	NA	11.9	27.8	23.4	63.1	6.8	74.5	NA	49	24.5	13	90.06494897	1.484547855	2.069802298	1.077724645	39.62511715	2.566452796
136	55	193.2	487.2	38366	23609	17.2	0	"(37413.8, 40362.7]"	39.3	37.1	41.5	"Itawamba County, Mississippi"	2.54	51.9	8	35.3	NA	3.4	31.8	8.8	50	9.3	61.2	46.6	41.5	39	22	91.71463903	6.528506247	0.217474735	0.571404205	53.67289191	5.256362966
63	28	218	492.1	30460	9909	25.2	0	"[22640, 34218.1]"	43.4	42.2	44	"Metcalfe County, Kentucky"	2.51	58.4	17.7	35.2	NA	2.8	40.9	6.1	50.3	7.4	51.8	36.7	33.9	44.6	26.8	95.13269905	1.281922884	0.330495744	1.852779169	56.45325203	11.46987952
143	61	213.5	509.6	37443	24363	20.2	0	"(37413.8, 40362.7]"	40.7	39.5	42.1	"Hickman County, Tennessee"	2.6	49.1	21.4	50.1	NA	1.3	43.3	6.6	48	8.6	53.7	NA	35.3	41.1	25.7	92.14676934	4.826421777	0.032944859	0.938928468	52.0583875	6.558627264
2362	753	140.1	429.5	65359	631096	11.2	456.3489548	"(61494.5, 125635]"	36.1	35	37.4	"Arapahoe County, Colorado"	2.63	50.5	16.5	31.1	NA	12.3	20.4	26	65.7	7.2	70.3	59.1	51.1	26	15.3	73.06965199	10.24050238	5.373247193	5.817264224	49.05771316	5.782071504
890	343	175.7	482.8	56508	154604	13.2	19.40441386	"(54545.6, 61494.5]"	39.9	38.4	41.6	"Schenectady County, New York"	2.65	44.8	14.5	27.1	NA	9.9	30	16.4	NA	7.4	71.5	56.2	51	35.1	19.1	78.42838316	10.18372568	4.272074214	3.317915192	45.67653277	5.183987725
51	24	209.1	458.3	36742	8220	21.3	0	"(34218.1, 37413.8]"	37.4	35.1	39.6	"Decatur County, Iowa"	2.38	50.1	12.4	26	NA	2.6	38.6	13.9	54.6	7.5	62.2	44.6	36.3	40	20.9	95.46611711	1.685052734	0.703115529	0.133349497	52.00381679	5.356186395
551	224	191.8	481.8	43969	86484	14.9	0	"(42724.4, 45201]"	42.4	41.4	43.2	"Crawford County, Pennsylvania"	2.42	52.2	16.1	36.6	NA	4.6	45	12.4	53.4	7.2	64.9	47.4	41.7	38.6	19.5	95.79359537	1.863915826	0.501471211	0.209518794	52.06362979	6.020996295
176	74	200.3	488	34425	26777	23.9	0	"(34218.1, 37413.8]"	42.2	41.5	43.3	"Geneva County, Alabama"	2.47	52.3	24.7	39.1	NA	3.6	37.1	9.3	48.3	11.2	56.1	40	33.9	42.7	24.4	86.50009323	8.901734104	1.226925228	1.129964572	50.18597731	5.630397237
114	45	181.7	474.4	34403	18317	26.3	0	"(34218.1, 37413.8]"	40.5	37.8	42.4	"Winston County, Mississippi"	2.38	44.6	33.8	33.9	NA	2	31.5	12.3	47.8	12.3	54.1	39.5	33.3	44.1	25	51.35583249	47.70284003	0.187195807	0.278119484	41.42745303	5.112672644
38	16	150.9	398.5	42006	6385	16.7	0	"(40362.7, 42724.4]"	44.5	43.4	45	"Wayne County, Iowa"	2.41	55.5	40.9	26.4	26.4	6.4	43.5	9.9	55.6	4.3	65.1	42.9	32.9	41.9	18.1	97.6660401	0.469924812	0.062656642	0	51.81047766	7.016060862
298	119	182.2	462.5	46073	59660	18.5	0	"(45201, 48021.6]"	37.5	36	39.9	"Lee County, North Carolina"	2.75	49.2	18.3	34.6	NA	6.1	26.4	14.7	55.5	10.3	59	45.5	36.5	34.3	20.7	69.20293514	19.0682958	1.067016729	7.487630011	49.61803263	5.257747099
74	31	190.4	468.7	39033	12182	20.1	0	"(37413.8, 40362.7]"	43.1	41.9	43.6	"Bollinger County, Missouri"	2.56	53.8	16.7	41.2	NA	1.8	45.4	7.4	50.9	4	58.5	NA	37.9	41.8	23.3	97.83101327	0.242797022	0.679831661	0	55.10204082	7.020802377
75	33	211.9	482.9	34679	10724	18.8	0	"(34218.1, 37413.8]"	45.1	44.6	45.6	"Coosa County, Alabama"	2.42	44.7	19.6	28.9	51.6	0	37.6	5.1	NA	17	55.9	37.3	31.2	45.3	24.2	67.35286116	30.68831051	0	0	43.25842697	2.504393673
47	24	240.2	495.8	30671	6238	31.2	0	"[22640, 34218.1]"	42.8	39.3	45.7	"Fulton County, Kentucky"	2.33	47.1	26.2	31.5	41.3	1	34.8	7.9	43.6	12	54.5	NA	31	49.1	26.2	72.20492059	25.07007163	0.140143258	0.264715042	45.44392523	5.13618677
114	50	203.3	470.4	35055	22745	31.1	0	"(34218.1, 37413.8]"	36	34.4	37.2	"Burke County, Georgia"	2.81	42.9	32	36.3	NA	3.8	39.9	5.6	49.6	8.2	50	NA	34.7	41.9	27.8	47.82892163	49.81092711	0.204285652	1.612552701	42.3475685	5.410413193
72	33	164.7	389.2	51335	13806	10.6	0	"(51046.4, 54545.6]"	41.3	38.2	43.6	"York County, Nebraska"	2.31	56.5	13.6	25.8	55.3	5.3	32.6	19	65.5	2	77.4	58.2	44.1	28.9	11.6	95.60940326	0.933092224	0.224231465	0.701627486	55.1213419	6.993486459
1962.667684	30	143.8	453.5494221	47723	12103	11.9	247.8724283	"(45201, 48021.6]"	45	43.7	46	"Marion County, Kansas"	2.4	57.9	15.2	20.9	55.8	8.1	36.4	14.7	58.4	5	74.9	56.5	49.1	33.4	15.3	95.76891782	0.81366965	0.18714402	0.170870627	57.88269551	6.021594684
1246	451	173.7	497.7	55482	201169	11.2	159.0702345	"(54545.6, 61494.5]"	44.1	42.9	45.2	"York County, Maine"	2.4	52.6	9.3	36.1	43	11.6	31.6	20.4	63.1	5.9	72.2	56.4	50.2	33.1	15.7	96.10180187	0.684087699	1.127793191	0.173776304	51.22310568	5.050755137
1962.667684	49	163	453.5494221	53552	25673	11.5	0	"(51046.4, 54545.6]"	35.1	33.8	36.5	"Lyon County, Minnesota"	2.46	51.3	7.3	23.5	61.3	7.9	35.1	18.6	69	5.3	76.7	62.4	51.4	29.5	15.3	89.67664111	2.926183898	3.330868905	2.840577454	50.33139185	5.799293999
845	282	153.4	464.9	59377	183245	10	120.0578461	"(54545.6, 61494.5]"	37.8	36.6	38.9	"Outagamie County, Wisconsin"	2.51	55	12.8	32.5	NA	8.7	34.2	19.7	68.1	3.9	78.5	66.6	60.9	25.5	13.5	90.51931497	1.114559663	3.206229563	1.802915258	53.90397844	4.723966632
465	195	189.9	469.6	45431	89100	17.8	763.1874299	"(45201, 48021.6]"	36.8	35.6	38.3	"Buchanan County, Missouri"	2.58	44.9	18.3	37.5	NA	6	36.8	13	59.3	7.5	65.2	50.7	44.5	33.5	17.9	88.80986144	5.225488773	0.867565123	1.035048738	44.6376899	6.216255654
137	46	144.3	455.6	38155	21630	18.3	0	"(37413.8, 40362.7]"	48.1	46.8	49.2	"Crook County, Oregon"	2.29	59.1	29.2	40.8	NA	0	37.8	10.5	46.4	13.5	56.9	35.2	30.7	49.4	26	92.75625119	0.563084558	0.300629891	2.76770376	54.82982707	6.462075848
208	77	180.1	506.6	52578	34371	11.8	1862.034855	"(51046.4, 54545.6]"	38.9	36.7	41	"Effingham County, Illinois"	2.54	54.1	14.3	31.3	41.4	13	36.4	14.7	64.1	5.4	73.4	56	47	34.4	17.4	97.78049633	0.340789934	0.544681347	0.562157754	54.01350338	4.731034483
455	173	174	449	51436	121552	14.7	0	"(51046.4, 54545.6]"	31.6	31.1	32.1	"Faulkner County, Arkansas"	2.65	49	8.7	23.8	NA	10.9	30.6	18	61	6.6	69	NA	44.6	29	16.4	84.09626036	11.30187778	1.271126082	1.045725346	51.07628923	4.772020566
20	11	209.6	426.4	39936	3019	15.2	0	"(37413.8, 40362.7]"	49.9	50.5	49.3	"Perkins County, South Dakota"	2.21	59.7	18.5	34.8	38.5	8.1	37.6	13.4	61.5	4.5	72.1	52.9	33.1	33.9	13	96.71251258	0.10063737	0	0.16772895	54.28790199	10.27131783
579	206	159.4	477	52149	101973	9.9	235.3564179	"(51046.4, 54545.6]"	41	40.1	41.8	"Fond du Lac County, Wisconsin"	2.4	54.8	10.6	33.8	NA	6.2	38.5	14.8	64.6	5.3	77.1	60.3	54.8	30.6	14.4	93.58516484	1.164638933	1.315737834	1.864207221	53.51968638	4.541733098
256	110	205	485.3	36003	40021	22.2	0	"(34218.1, 37413.8]"	40.9	38.5	43.1	"Webster Parish, Louisiana"	2.51	44	22.8	40.2	NA	2.1	40.5	11	47.6	7.6	52.8	37.3	32.4	42.4	25.1	63.5620553	34.32552872	0.337297191	0.182189724	42.25182366	6.027155315
171	92	202.4	389.1	37831	31470	19.7	0	"(37413.8, 40362.7]"	44.3	42.8	46.1	"Smyth County, Virginia"	2.43	51.7	14.7	44.8	NA	4.6	38.8	9.2	50.8	6.4	59.2	44.2	39.8	41.4	24.3	96.08621668	2.136509737	0.343480179	0.012604777	49.67565455	6.188734455
275	104	174.7	487.3	47360	41877	16.3	0	"(45201, 48021.6]"	43	42.5	43.7	"Tioga County, Pennsylvania"	2.47	52.2	12	37.8	NA	5.5	44.6	12	52.6	7.4	69.5	51.6	46.4	36.5	16.9	97.1147479	0.718948065	0.532116167	0.073313783	52.9829631	6.635885322
250	102	173.3	430.4	46931	51211	16.8	0	"(45201, 48021.6]"	38.8	37.6	39.7	"Coffee County, Alabama"	2.62	51	19.9	29.3	NA	8.2	29.5	15.2	52.1	7.1	68.1	46.2	33.4	36.3	18	76.77658989	17.35123025	1.232214449	0.782171213	49.88517745	4.884815874
36	12	170.1	484.6	35740	6577	25.2	0	"(34218.1, 37413.8]"	34.5	33.7	36.1	"Blaine County, Montana"	2.87	46.6	23.7	27.1	NA	2	28.1	15.9	53.3	13.4	43	NA	22.6	35.4	22.4	47.90845711	0.242497727	0	0.454683237	44.28060769	8.100358423
562	230	177.8	449.5	51868	104224	10.6	604.4673012	"(51046.4, 54545.6]"	41.4	40.3	42.5	"Miami County, Ohio"	2.49	53.9	14.6	41.2	NA	6.7	36.9	13.3	60	7.6	73	57.8	54	31.9	16.3	94.37966711	2.174522059	1.31379387	0.168088333	52.19885742	4.84544324
293	134	178.9	404.4	43687	61018	18.5	0	"(42724.4, 45201]"	39.2	38.1	40	"St. Joseph County, Michigan"	2.59	54	25.2	40.9	NA	4.6	38.9	9	55.6	8.6	66.2	50.2	45.1	37.9	20.3	92.14873324	2.76457671	0.634197503	2.015666481	53.0124624	7.077326343
331	135	204.9	492.3	54459	71645	12.3	125.6193733	"(51046.4, 54545.6]"	35.5	34.2	36.5	"Lonoke County, Arkansas"	2.7	58.3	12.4	37.9	NA	5.6	34	13.7	59.5	5.9	68.8	52.7	41.4	32.9	18	89.32537381	6.085640322	0.646475506	1.459874666	58.12651974	7.028310079
19	7	169.4	527.4	51961	2272	10.9	0	"(51046.4, 54545.6]"	48.5	49.3	48	"Towner County, North Dakota"	2.25	65.9	19.2	41	NA	15.4	33.2	14.2	59.7	2.9	76.1	54.7	33.5	35.1	14.5	89.97384481	0	0.087183958	0.217959895	57.92622134	16.4556962
970	365	177.6	450.4	53799	298612	14.7	26.79061793	"(51046.4, 54545.6]"	32.9	31.9	33.8	"Rutherford County, Tennessee"	2.76	51	8.1	32	NA	9.2	29.6	21.4	65	6.8	72.9	61.9	54.4	23.5	13.7	79.74433568	13.4846651	2.994075553	0.86424734	53.0572913	4.947730667
39	18	162.7	368.7	36340	7200	21.3	138.8888889	"(34218.1, 37413.8]"	46.2	44.7	46.6	"Harney County, Oregon"	2.32	61.4	19	51.8	NA	1.3	33.9	9.8	48.9	16.1	64.3	43.6	33.9	42.2	20.9	91.76926269	0.650159081	0.553326878	0.940655692	57.70243581	8.321273517
238	95	179.8	459.2	52978	45549	14.4	0	"(51046.4, 54545.6]"	39.3	38.8	39.8	"Monroe County, Wisconsin"	2.49	53.4	16.2	46.9	NA	4.9	39.4	12.4	60	6.5	69.4	51.7	44.4	34.7	17	94.03410346	0.996156735	0.713433759	1.084507664	51.05653591	9.392150771
169	69	181.9	441.6	47299	37206	17.5	0	"(45201, 48021.6]"	36.9	36.6	37.2	"Howard County, Texas"	2.73	44.9	20.3	30.3	NA	4	31.3	9.3	48	6.4	61.5	48	41.8	31.7	17.7	83.61168813	5.841296219	0.933388727	5.337210913	47.82259504	7.220420251
335	137	180.1	469	38992	51441	19.3	2332.769581	"(37413.8, 40362.7]"	42.1	40.4	44.5	"Knox County, Illinois"	2.25	44	11.7	32.6	NA	6	36.6	11.4	50.1	7.4	63.2	45.4	39.4	43.9	24.5	87.02602088	8.499002149	0.82514584	1.897835431	42.65057979	5.205017787
140	59	193.1	478	66522	25512	6.9	0	"(61494.5, 125635]"	498	40.4	42.4	"Cass County, Nebraska"	2.57	62	14.2	36	NA	5.1	32.1	16.9	NA	3.8	83	65.6	55.4	24.4	9.3	96.81388013	0.954258675	0.563880126	0.339116719	61.33661337	7.938902508
227	81	144.9	432.9	47996	44954	13.4	578.3689994	"(45201, 48021.6]"	38.6	37.4	40.6	"Union County, Pennsylvania"	2.38	47	6.9	16.2	NA	6.3	41.2	12.3	46.7	6.1	73	54.4	49.3	31.3	13.8	87.89981761	7.042128209	1.250055607	1.445793852	54.37784929	4.739182301
20	6	136.6	468.1	40639	3876	24.9	0	"(40362.7, 42724.4]"	35.5	34.4	36.8	"Lyman County, South Dakota"	2.74	46.9	32	32	28.8	7.3	36.5	13.4	60.1	7.4	55	43.4	32.5	34.7	20.7	57.72739119	0	0.99035705	0	46.05451937	5.548037889
96	38	174	460	41759	16491	18.1	0	"(40362.7, 42724.4]"	40.7	35.9	48.6	"Lawrence County, Illinois"	2.22	43	49	25.6	22.2	3.2	34.3	7.3	30.3	6.1	62.1	NA	38.6	46	24.8	75.91359136	20.56405641	0.108010801	1.320132013	51.50548355	5.340223945
383	165	216.8	513.8	40376	66520	20.3	435.95911	"(40362.7, 42724.4]"	38.9	37.4	40.8	"St. Francois County, Missouri"	2.33	48.2	24.6	35.8	NA	3.7	34.2	8.4	47.6	8.3	64.3	NA	41.6	38.9	18.9	93.13285866	4.784123618	0.384790183	0.36661112	49.40247032	4.612961296
126	48	191.1	488.7	36390	21498	23.4	0	"(34218.1, 37413.8]"	40.8	38.4	43.5	"Morgan County, Tennessee"	2.52	51.7	18.2	50.6	NA	2.9	51.3	4	38.2	8.5	60.4	44.4	39.2	43.7	24.3	94.15435441	4.313113701	0.032118932	0.27530513	57.421981	3.724928367
83	33	167.9	453.6	32867	12385	26.8	0	"[22640, 34218.1]"	45.1	44.6	45.3	"Washington County, North Carolina"	2.4	45.2	29.6	22.7	NA	5.3	38	6.1	43.2	15.5	53.1	37.4	32.5	46.9	26.7	46.71613514	48.91064099	0	2.194505841	42.52300614	3.122648608
122	52	190.3	458.4	32977	20028	25.6	0	"[22640, 34218.1]"	42.2	41	43	"Marengo County, Alabama"	2.42	44.4	18.2	31.6	NA	2.2	42	9.7	42.4	11.4	60.1	43	36.3	43.6	23.7	46.69555796	51.42814932	0.142814932	1.211464592	40.65934066	4.656703487
883	329	150.7	389.5	61501	285174	10.5	171.8249209	"(61494.5, 125635]"	406.8	33.3	34.4	"Weld County, Colorado"	2.8	55	14.4	30.9	48.6	6.1	27	17.8	63.1	6.6	69.9	58.6	51	27.3	16.3	87.205294	1.069947001	1.347121957	6.675081565	57.01953465	6.80980854
259	103	189.7	479.1	54920	45685	8.7	0	"(54545.6, 61494.5]"	42.1	41	43.2	"Perry County, Pennsylvania"	2.49	57	16.8	48.7	NA	5.8	46	10.6	62.2	6.3	76.2	59.3	54.2	27.5	11.1	97.21741796	0.862578541	0.308689275	0.324014274	56.83162842	5.221317107
5129	1741	157.5	486.8	65809	895841	12.2	222.1376338	"(61494.5, 125635]"	40.1	38.2	41.7	"Hartford County, Connecticut"	2.51	46.8	14	26.6	NA	14.2	27.1	20.5	60.7	9.3	71.3	58.1	53.3	33.4	19.5	72.63181718	13.39795282	4.791051382	5.702146067	46.28481184	5.248472648
1352	435	165.5	514.9	45840	286085	20.1	443.9240086	"(45201, 48021.6]"	31.5	30.6	32.7	"Ingham County, Michigan"	2.4	38.8	5.9	16.7	NA	12.1	21.6	20.4	57.3	9	72.7	NA	52	31.3	16.7	75.50680621	11.15097128	5.676723423	1.772190299	38.80436161	4.499226458
1962.667684	3	156.9	453.5494221	52795	1330	10.8	0	"(51046.4, 54545.6]"	49.4	48.7	49.9	"Greeley County, Kansas"	2.46	66.6	4.8	0	NA	40.3	30.3	20.4	60.5	2.1	81.9	60.5	42.7	28.8	10.5	87.17320261	0.89869281	0.326797386	8.905228758	64.68172485	5.687203791
142	60	185.4	431.6	41419	27254	22.4	0	"(40362.7, 42724.4]"	38.8	37.2	44.5	"Del Norte County, California"	2.55	40.8	21.9	40.3	NA	2.9	29.1	9.4	38.3	11.5	50.4	35	30.8	51.9	31.8	76.464661	2.886137901	2.159205412	4.167266446	42.03821656	9.278553175
1962.667684	13	151.2	453.5494221	52744	5975	10.4	0	"(51046.4, 54545.6]"	42.2	39.5	45.4	"Ottawa County, Kansas"	2.39	63.8	17.1	36.5	NA	7.3	32.9	15.2	63.2	5.3	77.8	60.6	50.8	27.9	11.3	96.80886243	0.297619048	0	0.413359788	58.52386683	1.470588235
85	34	149.1	410.1	51527	15984	10	0	"(51046.4, 54545.6]"	41.8	39.6	43.8	"Otoe County, Nebraska"	2.41	55.9	17	40.4	NA	8.7	37.7	15.1	65.3	4.6	77.7	59.3	51.9	28.8	11.4	96.5029668	0.113622017	0.486049741	0.580734756	52.75321855	8.147459727
1336	569	191.2	443.8	58333	322225	14.3	37.24105827	"(54545.6, 61494.5]"	37.5	36.3	38.7	"Galveston County, Texas"	2.66	50.9	15.9	29.5	45.5	9.1	24.5	19.1	59.8	7.5	68.1	56.1	49.9	25.6	13.9	77.9217492	13.31016378	3.309936624	2.420147779	51.0731913	5.330646143
152	68	194.3	441.6	44947	28679	15.8	0	"(42724.4, 45201]"	41.1	38.9	42.2	"Fayette County, Ohio"	2.44	51.7	23	40.5	NA	4	46.7	10.4	54.4	8.6	60.4	46.1	42.2	40.5	24.3	94.48016963	1.925683896	0.64652925	0.64652925	48.78764346	5.708508322
