avgAnnCount;avgDeathsPerYear;TARGET_deathRate;incidenceRate;medIncome;popEst2015;povertyPercent;studyPerCap;binnedInc;MedianAge;MedianAgeMale;MedianAgeFemale;Geography;State;Region[CAT];AvgHouseholdSize;PercentMarried;PctNoHS18_24;PctHS18_24;PctSomeCol18_24;PctBachDeg18_24;PctHS25_Over;PctBachDeg25_Over;PctEmployed16_Over;PctUnemployed16_Over;PctPrivateCoverage;PctPrivateCoverageAlone;PctEmpPrivCoverage;PctPublicCoverage;PctPublicCoverageAlone;PctWhite;PctBlack;PctAsian;PctOtherRace;PctMarriedHouseholds;BirthRate;naa;nab
113,00;36,00;121,40;413,30;54721,00;16252,00;12,70;0,00;(54545.6, 61494.5];54,40;54,00;54,60;San Juan County, Washington;Washington;West;2,04;56,80;17,70;32,40;;5,20;17,20;26,20;54,60;5,90;67,20;;27,90;41,60;18,30;92,57;0,65;1,43;2,24;50,04;4,59;Georgia;South
740,00;269,00;172,70;499,30;51395,00;121846,00;15,70;837,12;(51046.4, 54545.6];41,00;40,00;42,20;Skagit County, Washington;Washington;West;2,56;53,60;25,50;33,80;37,60;3,10;26,70;15,90;;8,20;64,40;;38,00;38,10;20,20;85,59;0,81;1,89;6,23;52,94;5,82;Hawaii;West
55,00;26,00;188,30;398,90;52673,00;11339,00;12,60;0,00;(51046.4, 54545.6];45,20;44,90;45,50;Skamania County, Washington;Washington;West;2,49;54,40;20,00;43,80;;2,40;29,20;14,20;51,50;8,30;64,40;49,70;42,60;36,10;20,50;93,42;0,84;0,98;0,77;52,95;4,81;Iowa;Midwest
3438,00;1118,00;165,30;493,40;71890,00;772501,00;9,90;138,51;(61494.5, 125635];37,60;36,60;38,70;Snohomish County, Washington;Washington;West;2,68;52,10;15,40;33,30;;8,30;24,30;20,90;62,10;7,50;73,30;61,60;54,30;25,90;14,10;78,83;2,60;9,51;2,25;52,72;4,73;Idaho;West
2265,00;901,00;171,00;440,70;50083,00;490945,00;16,30;462,37;(48021.6, 51046.4];37,20;35,70;38,70;Spokane County, Washington;Washington;West;2,45;49,40;10,90;29,30;51,20;8,60;25,70;18,10;55,10;8,40;65,20;50,60;42,50;36,50;21,40;89,04;1,83;2,32;1,03;48,19;5,36;Illinois;Midwest
251,00;106,00;174,20;423,80;43823,00;43791,00;19,30;0,00;(42724.4, 45201];46,20;45,60;46,80;Stevens County, Washington;Washington;West;2,44;57,20;25,10;35,30;;3,90;34,40;10,70;46,30;9,40;58,30;39,30;33,90;45,80;24,10;89,18;0,49;0,60;0,87;55,21;3,63;Indiana;Midwest
1390,00;483,00;169,90;495,90;61653,00;269536,00;11,90;207,76;(61494.5, 125635];38,50;37,10;39,90;Thurston County, Washington;Washington;West;2,52;52,40;14,80;31,70;46,20;7,40;22,70;20,30;56,50;8,50;74,50;55,40;43,50;30,70;13,70;82,59;2,84;5,84;1,23;50,87;5,18;Kansas;Midwest
32,00;12,00;153,80;463,20;51022,00;4042,00;13,90;0,00;(48021.6, 51046.4];52,10;51,50;53,10;Wahkiakum County, Washington;Washington;West;2,31;53,50;37,20;20,80;37,80;4,20;33,10;10,10;35,70;10,60;64,70;38,60;35,20;49,70;20,40;92,96;0,12;1,14;0,00;53,38;0,54;Kentucky;South
305,00;120,00;162,80;442,50;49819,00;60338,00;15,70;464,05;(48021.6, 51046.4];36,90;35,50;39,10;Walla Walla County, Washington;Washington;West;2,50;46,50;13,70;29,20;;5,60;22,60;16,40;54,50;6,40;65,70;47,60;40,00;38,00;18,80;86,24;1,65;1,62;5,64;49,33;4,14;Louisiana;South
1081,00;367,00;163,30;490,90;53733,00;212284,00;15,70;249,67;(51046.4, 54545.6];36,50;35,60;37,50;Whatcom County, Washington;Washington;West;2,53;47,50;9,40;22,10;;7,70;23,00;21,30;57,80;8,20;68,70;54,60;44,80;31,90;17,40;85,47;0,88;3,93;2,43;48,07;4,47;Massachusetts;Northeast
134,00;50,00;140,80;390,50;41837,00;48177,00;28,40;0,00;(40362.7, 42724.4];24,20;24,40;23,90;Whitman County, Washington;Washington;West;2,31;36,10;1,20;16,40;;10,30;17,40;25,70;53,40;8,80;78,30;66,20;53,80;22,90;11,90;83,58;2,15;7,61;1,62;40,55;3,30;Maryland;Northeast
958,00;403,00;169,40;411,00;44342,00;248830,00;20,50;301,41;(42724.4, 45201];32,50;31,60;33,60;Yakima County, Washington;Washington;West;3,05;48,60;28,70;39,30;;3,00;27,80;9,80;56,00;9,00;54,60;42,30;30,80;35,70;22,40;78,02;0,84;1,09;12,95;50,67;6,56;Maine;Northeast
94,00;41,00;189,70;445,20;35615,00;16704,00;21,50;0,00;(34218.1, 37413.8];41,50;40,90;42,10;Barbour County, West Virginia;West Virginia;South;2,68;52,00;9,80;36,10;45,80;8,30;47,10;7,90;46,50;9,00;55,60;40,10;36,50;44,80;26,40;96,84;0,84;0,38;0,03;55,29;2,29;Michigan;Midwest
499,00;215,00;206,10;463,10;56737,00;111901,00;13,20;89,36;(54545.6, 61494.5];38,40;38,00;38,60;Berkeley County, West Virginia;West Virginia;South;0,03;51,80;17,00;40,80;32,20;10,00;38,20;12,70;58,70;9,70;70,00;;49,70;33,10;17,30;87,80;7,33;1,05;0,91;51,52;4,87;Minnesota;Midwest
152,00;70,00;236,70;501,80;37625,00;23372,00;22,10;0,00;(37413.8, 40362.7];41,90;41,20;43,20;Boone County, West Virginia;West Virginia;South;2,50;55,20;21,30;42,90;;5,20;49,40;5,40;39,50;9,20;60,20;42,80;41,30;46,30;25,40;98,31;0,68;0,09;0,13;53,06;4,22;Missouri;Midwest
80,00;40,00;196,30;396,60;33817,00;14415,00;22,20;0,00;[22640, 34218.1];44,50;43,70;45,30;Braxton County, West Virginia;West Virginia;South;2,51;52,40;32,60;46,20;;3,40;49,10;8,50;44,30;14,40;56,10;41,90;38,90;43,40;25,40;97,91;0,50;0,00;0,00;53,27;5,47;Mississippi;South
164,00;69,00;186,20;481,60;43572,00;23350,00;15,10;0,00;(42724.4, 45201];45,90;44,10;48,00;Brooke County, West Virginia;West Virginia;South;2,26;50,30;11,10;30,60;;3,80;43,70;11,00;51,90;6,40;68,30;49,50;46,40;39,70;19,40;96,82;1,75;0,52;0,06;47,59;4,97;Montana;West
564,00;237,00;194,00;483,40;34887,00;96844,00;21,90;330,43;(34218.1, 37413.8];38,50;36,90;39,90;Cabell County, West Virginia;West Virginia;South;2,32;43,00;9,70;28,20;;11,50;31,90;14,80;50,30;6,80;63,30;48,20;44,40;39,00;21,70;91,07;4,82;1,19;0,23;40,77;4,52;North Carolina;South
50,00;25,00;226,50;459,90;32162,00;7470,00;21,80;0,00;[22640, 34218.1];47,00;47,60;46,50;Calhoun County, West Virginia;West Virginia;South;2,44;55,70;11,60;31,40;;0,00;48,90;7,60;39,90;18,10;52,40;36,50;35,10;46,00;25,20;98,25;0,09;0,05;0,03;53,33;4,78;North Dakota;Midwest
70,00;26,00;212,90;591,00;32961,00;8910,00;25,10;4938,27;[22640, 34218.1];43,30;43,40;43,30;Clay County, West Virginia;West Virginia;South;2,62;55,80;19,50;51,10;;0,00;49,10;5,80;39,60;12,30;48,70;33,70;32,60;52,00;32,50;98,04;0,00;0,00;0,04;58,09;8,75;Nebraska;Midwest
25,00;19,00;185,60;234,00;41838,00;8176,00;17,40;0,00;(40362.7, 42724.4];43,70;41,80;45,50;Doddridge County, West Virginia;West Virginia;South;2,85;45,80;26,20;61,70;10,10;1,90;44,30;8,80;41,00;6,50;55,20;37,70;35,50;45,20;25,40;96,67;1,09;0,09;0,00;53,93;6,02;New Hampshire;Northeast
280,00;137,00;217,00;457,00;36739,00;44997,00;21,40;0,00;(34218.1, 37413.8];43,20;42,00;45,10;Fayette County, West Virginia;West Virginia;South;2,47;50,90;17,30;49,30;;4,40;44,40;8,40;42,60;9,20;53,40;36,10;34,00;47,80;27,80;93,38;5,16;0,10;0,23;49,88;6,53;New Jersey;Northeast
45,00;21,00;209,90;463,10;32705,00;8518,00;28,90;0,00;[22640, 34218.1];38,40;37,40;41,20;Gilmer County, West Virginia;West Virginia;South;2,40;43,20;7,80;29,40;;3,90;36,60;9,80;37,10;9,40;61,30;;41,20;39,00;18,80;81,56;10,90;0,32;1,35;52,59;2,33;New Mexico;West
58,00;22,00;128,00;356,30;41039,00;11766,00;17,00;0,00;(40362.7, 42724.4];45,60;45,50;45,70;Grant County, West Virginia;West Virginia;South;0,03;50,50;16,30;41,50;33,80;8,40;50,20;7,00;51,30;6,70;65,10;48,00;44,50;42,40;21,20;97,38;1,38;0,00;0,11;55,40;3,53;Nevada;West
250,00;103,00;195,10;494,90;36996,00;35516,00;21,10;0,00;(34218.1, 37413.8];45,30;44,60;46,70;Greenbrier County, West Virginia;West Virginia;South;2,28;52,20;22,40;36,60;27,80;13,30;44,00;11,20;48,20;7,20;61,90;43,30;39,10;43,00;22,10;94,14;2,30;0,39;0,43;47,48;4,35;New York;Northeast
145,00;66,00;212,10;475,10;35980,00;23353,00;21,20;0,00;(34218.1, 37413.8];44,60;44,00;45,10;Hampshire County, West Virginia;West Virginia;South;2,25;38,70;21,50;47,40;;5,30;50,00;6,90;46,00;8,10;50,50;38,20;35,60;44,70;31,10;97,16;1,42;0,03;0,10;33,69;2,28;Ohio;Midwest
218,00;85,00;184,10;495,00;48178,00;29815,00;12,90;0,00;(48021.6, 51046.4];45,60;44,10;47,90;Hancock County, West Virginia;West Virginia;South;2,32;51,80;20,00;23,80;;14,80;42,80;12,60;53,20;7,20;69,50;50,30;46,70;37,60;17,10;95,72;2,24;0,25;0,00;48,44;5,69;Oklahoma;South
68,00;29,00;153,00;374,90;41010,00;13852,00;15,30;0,00;(40362.7, 42724.4];44,50;44,20;45,00;Hardy County, West Virginia;West Virginia;South;2,69;50,10;24,90;54,20;;3,90;47,70;9,30;53,70;7,90;65,80;;46,90;38,20;19,10;94,69;4,36;0,47;0,22;51,42;2,96;Oregon;West
449,00;192,00;206,70;506,60;42121,00;68714,00;13,90;160,08;(40362.7, 42724.4];42,00;40,50;43,50;Harrison County, West Virginia;West Virginia;South;2,48;52,40;17,70;38,60;34,20;9,50;39,50;13,50;53,00;7,40;64,00;47,30;44,00;39,50;21,30;95,67;1,82;0,53;0,16;49,70;5,06;Pennsylvania;Northeast
182,00;78,00;194,20;475,80;41121,00;29237,00;16,70;0,00;(40362.7, 42724.4];42,60;41,20;44,10;Jackson County, West Virginia;West Virginia;South;2,62;54,50;13,70;41,20;35,90;9,20;41,10;11,70;46,80;6,80;66,90;48,80;45,60;40,60;21,30;97,40;0,66;0,20;0,06;55,45;4,74;Rhode Island;Northeast
245,00;101,00;178,20;423,70;66950,00;56482,00;10,20;0,00;(61494.5, 125635];39,70;39,90;39,30;Jefferson County, West Virginia;West Virginia;South;2,65;53,30;14,10;24,50;55,30;6,20;32,10;18,20;60,30;8,40;73,30;58,60;53,80;29,20;14,60;88,24;6,97;1,62;0,57;54,10;5,00;South Carolina;South
1285,00;539,00;205,40;508,70;43936,00;188332,00;16,80;191,15;(42724.4, 45201];42,80;40,90;44,30;Kanawha County, West Virginia;West Virginia;South;2,28;47,90;20,40;33,00;;7,60;37,30;14,70;54,10;7,00;66,00;48,60;45,40;39,40;20,40;88,72;4,48;1,10;0,19;43,74;4,09;South Dakota;Midwest
124,00;50,00;218,40;553,00;40568,00;16448,00;20,00;0,00;(40362.7, 42724.4];43,30;42,20;44,70;Lewis County, West Virginia;West Virginia;South;2,48;50,60;15,60;41,80;;9,80;49,70;9,30;47,10;7,20;56,40;39,40;35,50;46,80;26,90;97,81;0,54;0,26;0,00;49,88;4,37;Tennessee;South
139,00;60,00;226,90;513,20;34295,00;21415,00;24,40;46,70;(34218.1, 37413.8];41,90;41,40;42,80;Lincoln County, West Virginia;West Virginia;South;2,69;50,60;16,90;50,70;27,20;5,20;43,40;5,70;42,20;10,10;51,70;34,30;31,70;52,60;31,60;98,33;0,48;0,27;0,00;52,93;2,64;Texas;South
245,00;113,00;240,10;523,90;36437,00;34707,00;20,20;28,81;(34218.1, 37413.8];42,60;41,50;44,10;Logan County, West Virginia;West Virginia;South;2,50;53,10;15,00;45,90;;2,20;41,60;5,50;40,50;10,90;56,10;40,50;39,90;45,50;25,80;96,45;2,19;0,36;0,16;52,34;4,20;Utah;West
137,00;70,00;234,80;457,10;24707,00;19835,00;34,90;0,00;[22640, 34218.1];44,10;41,50;46,50;McDowell County, West Virginia;West Virginia;South;2,39;46,00;32,30;51,60;;3,10;43,90;3,20;27,00;13,30;39,70;24,30;23,40;58,50;37,70;89,36;9,16;0,00;0,57;44,27;3,86;Virginia;South
373,00;144,00;188,80;510,90;43729,00;56925,00;17,90;0,00;(42724.4, 45201];41,10;39,70;42,70;Marion County, West Virginia;West Virginia;South;2,47;51,00;11,20;34,40;;5,40;40,90;14,50;;4,90;67,60;;48,50;35,70;18,30;93,95;3,62;0,52;0,00;49,46;5,11;Vermont;Northeast
208,00;87,00;184,60;456,30;43356,00;31978,00;15,20;0,00;(42724.4, 45201];44,30;42,90;46,50;Marshall County, West Virginia;West Virginia;South;2,36;57,70;8,50;45,90;;9,20;45,10;11,40;50,90;7,00;70,30;50,40;47,80;37,50;17,00;97,67;0,86;0,41;0,17;55,32;3,17;Washington;West
168,00;78,00;209,50;463,40;35799,00;27037,00;20,60;1146,58;(34218.1, 37413.8];43,00;42,30;44,10;Mason County, West Virginia;West Virginia;South;2,44;51,60;23,10;42,50;;3,30;47,50;7,80;41,20;10,30;59,60;41,60;39,00;47,60;26,60;97,87;0,72;0,06;0,10;50,71;3,67;Wisconsin;Midwest
418,00;184,00;210,00;493,80;35046,00;61164,00;20,50;81,75;(34218.1, 37413.8];42,30;40,60;43,70;Mercer County, West Virginia;West Virginia;South;2,39;50,60;14,00;37,30;;6,10;37,90;12,50;46,60;5,10;56,40;;35,90;48,20;27,10;91,14;5,86;0,65;0,18;48,37;4,81;West Virginia;South
170,00;76,00;198,40;456,60;40012,00;27451,00;16,10;0,00;(37413.8, 40362.7];43,20;42,10;44,40;Mineral County, West Virginia;West Virginia;South;2,40;44,20;9,50;48,40;37,30;4,80;50,20;8,50;47,00;8,80;58,60;45,10;41,60;39,40;23,30;94,82;3,15;0,30;0,17;42,97;7,39;Wyoming;West
163,00;76,00;240,80;507,00;29839,00;25292,00;28,10;0,00;[22640, 34218.1];41,70;40,40;42,70;Mingo County, West Virginia;West Virginia;South;2,38;55,60;17,20;47,30;;0,60;41,00;5,40;38,10;14,10;51,60;35,60;34,10;50,90;31,30;96,09;1,42;0,41;0,33;52,15;2,80;;
382,00;132,00;155,90;444,50;43835,00;104236,00;22,50;95,94;(42724.4, 45201];30,00;28,50;31,30;Monongalia County, West Virginia;West Virginia;South;2,56;37,20;3,50;23,80;58,20;14,50;29,90;20,60;55,40;5,80;76,50;63,80;57,10;23,30;12,40;90,58;3,60;3,15;0,35;40,42;4,00;;
86,00;39,00;190,70;434,60;36351,00;13506,00;19,30;0,00;(34218.1, 37413.8];46,60;45,40;48,30;Monroe County, West Virginia;West Virginia;South;2,30;56,80;10,60;42,00;47,00;0,30;49,40;8,70;48,00;7,30;60,50;40,40;36,60;45,20;23,70;97,66;0,70;0,00;0,00;53,16;6,08;;
105,00;52,00;209,70;425,40;44446,00;17524,00;13,00;0,00;(42724.4, 45201];46,10;45,80;46,60;Morgan County, West Virginia;West Virginia;South;2,36;47,70;13,30;53,10;;7,60;41,20;11,10;49,30;12,30;63,70;;38,40;38,40;17,30;97,36;0,77;0,42;0,00;45,14;4,09;;
160,00;72,00;199,80;455,50;36375,00;25594,00;19,60;0,00;(34218.1, 37413.8];43,40;42,30;44,70;Nicholas County, West Virginia;West Virginia;South;2,39;57,90;14,70;44,20;;1,30;48,00;8,20;46,50;8,40;61,60;;42,20;44,10;23,50;99,33;0,03;0,21;0,00;55,74;3,35;;
308,00;123,00;184,40;500,90;40195,00;43066,00;18,40;301,86;(37413.8, 40362.7];43,30;41,30;45,10;Ohio County, West Virginia;West Virginia;South;2,24;45,20;8,90;26,70;;8,10;34,50;18,70;56,00;5,50;70,90;;47,90;36,20;16,80;93,14;4,15;0,85;0,29;42,93;3,26;;
45,00;19,00;139,80;381,80;38204,00;7229,00;16,70;0,00;(37413.8, 40362.7];49,10;47,40;50,30;Pendleton County, West Virginia;West Virginia;South;2,35;55,30;25,90;41,30;;3,60;46,00;7,30;45,40;4,90;59,80;41,00;31,00;45,30;24,10;95,96;2,73;0,04;0,11;54,86;7,61;;
45,00;21,00;213,30;458,90;44801,00;7674,00;16,50;0,00;(42724.4, 45201];43,60;42,00;45,60;Pleasants County, West Virginia;West Virginia;South;2,43;55,00;9,00;47,10;;4,30;50,10;7,30;45,60;8,20;71,60;53,80;51,80;36,80;17,70;97,15;0,28;0,00;0,00;56,79;2,97;;
50,00;23,00;176,80;384,80;34341,00;8607,00;17,60;0,00;(34218.1, 37413.8];48,40;47,90;49,00;Pocahontas County, West Virginia;West Virginia;South;2,24;56,40;10,00;54,90;27,10;8,00;47,40;10,00;50,70;5,70;60,00;40,00;37,80;44,90;23,00;96,76;1,48;0,00;0,00;53,28;4,26;;
183,00;73,00;169,80;435,30;41420,00;33940,00;17,60;0,00;(40362.7, 42724.4];42,30;40,40;43,50;Preston County, West Virginia;West Virginia;South;2,52;53,30;18,00;44,60;31,40;5,90;46,40;9,00;49,50;7,00;63,50;46,80;43,80;39,30;21,10;94,16;3,97;0,16;0,33;56,81;4,04;;
328,00;114,00;171,50;497,20;59472,00;56848,00;10,00;211,09;(54545.6, 61494.5];41,00;40,40;41,60;Putnam County, West Virginia;West Virginia;South;2,60;57,40;7,70;43,60;43,00;5,80;37,80;14,80;57,70;3,70;73,60;59,40;55,30;31,20;15,80;96,63;1,50;0,34;0,17;58,72;6,03;;
482,00;206,00;198,20;469,60;40270,00;77510,00;17,70;12,90;(37413.8, 40362.7];41,60;40,00;43,40;Raleigh County, West Virginia;West Virginia;South;2,40;51,30;11,90;41,10;;8,30;39,50;12,00;45,50;6,60;60,60;36,80;33,60;44,60;24,00;88,30;8,28;1,19;0,52;49,67;3,78;;
161,00;68,00;168,60;405,20;37468,00;29126,00;20,80;0,00;(37413.8, 40362.7];43,20;41,70;45,10;Randolph County, West Virginia;West Virginia;South;2,35;52,20;24,30;35,70;;7,60;46,30;10,60;48,70;6,70;59,60;43,10;40,50;43,30;23,40;96,90;1,92;0,18;0,09;51,98;4,23;;
72,00;32,00;214,70;502,00;46383,00;9982,00;17,70;0,00;(45201, 48021.6];45,20;45,10;45,30;Ritchie County, West Virginia;West Virginia;South;2,56;49,50;23,10;38,00;;0,30;47,90;6,30;44,80;10,60;57,40;38,90;37,00;46,90;24,30;98,23;0,47;0,00;0,03;49,75;6,27;;
89,00;41,00;204,00;449,20;33041,00;14435,00;23,10;0,00;[22640, 34218.1];44,20;43,20;45,00;Roane County, West Virginia;West Virginia;South;2,48;53,90;26,00;45,80;;10,00;46,50;8,20;41,30;8,90;51,60;36,00;32,90;51,80;32,60;97,94;0,02;0,13;0,20;52,20;2,35;;
76,00;36,00;170,40;377,10;32456,00;13239,00;25,80;0,00;[22640, 34218.1];46,30;46,90;46,00;Summers County, West Virginia;West Virginia;South;2,22;53,50;20,00;46,20;;8,40;40,50;7,60;42,20;10,00;60,20;38,70;35,20;49,60;24,70;93,04;5,06;0,15;0,19;50,45;3,81;;
87,00;39,00;172,20;400,90;40305,00;16912,00;16,80;0,00;(37413.8, 40362.7];43,00;41,60;44,50;Taylor County, West Virginia;West Virginia;South;2,45;52,30;9,20;44,60;;5,00;43,60;11,70;48,90;9,50;63,70;45,90;43,90;42,60;20,60;97,26;0,95;0,96;0,04;52,06;6,80;;
56,00;19,00;168,10;528,40;36466,00;6966,00;17,10;0,00;(34218.1, 37413.8];47,70;47,00;48,40;Tucker County, West Virginia;West Virginia;South;2,26;60,50;7,00;50,60;;0,00;52,70;7,10;51,70;7,60;68,00;;46,10;39,30;17,90;98,16;0,23;0,60;0,00;56,88;3,87;;
61,00;27,00;199,10;468,30;41019,00;8975,00;15,80;0,00;(40362.7, 42724.4];46,20;45,60;46,90;Tyler County, West Virginia;West Virginia;South;2,48;53,50;19,00;44,10;;6,30;49,20;7,20;44,10;10,90;62,30;41,70;38,90;43,00;19,80;98,74;0,17;0,00;0,02;52,41;1,99;;
142,00;60,00;189,50;453,70;38387,00;24758,00;19,70;0,00;(37413.8, 40362.7];41,80;41,20;42,50;Upshur County, West Virginia;West Virginia;South;2,57;51,50;9,10;39,10;;6,10;48,40;9,30;48,20;8,00;59,70;45,00;41,30;40,20;23,30;97,41;1,10;0,24;0,05;53,56;5,30;;
236,00;102,00;183,80;433,20;37242,00;40971,00;20,00;24,41;(34218.1, 37413.8];42,50;41,30;43,50;Wayne County, West Virginia;West Virginia;South;2,47;48,90;13,40;43,30;;3,20;40,90;7,50;43,30;9,90;54,60;39,70;37,00;45,60;27,10;97,93;0,36;0,13;0,21;47,53;4,11;;
65,00;33,00;259,50;511,90;29331,00;8755,00;26,10;114,22;[22640, 34218.1];46,30;45,50;46,60;Webster County, West Virginia;West Virginia;South;2,28;54,10;10,40;54,60;32,30;2,80;43,00;5,30;40,20;14,80;45,10;31,20;28,20;53,30;35,40;97,98;0,12;0,37;0,00;48,73;4,20;;
120,00;50,00;202,60;514,60;40013,00;15816,00;18,50;0,00;(37413.8, 40362.7];46,00;44,60;47,20;Wetzel County, West Virginia;West Virginia;South;2,46;51,40;19,80;52,50;;3,20;48,70;6,00;41,70;8,10;63,50;42,70;39,70;44,60;21,30;98,44;0,12;0,47;0,00;51,71;6,16;;
35,00;14,00;185,80;455,30;38600,00;5880,00;20,30;0,00;(37413.8, 40362.7];45,00;45,40;44,00;Wirt County, West Virginia;West Virginia;South;2,40;52,20;21,10;31,60;;2,30;47,60;7,80;47,90;8,40;61,60;46,70;44,00;41,40;23,50;97,41;0,84;0,00;0,12;51,77;5,97;;
554,00;217,00;185,50;488,80;41932,00;86452,00;17,20;173,51;(40362.7, 42724.4];42,50;41,10;44,00;Wood County, West Virginia;West Virginia;South;2,37;51,10;15,80;36,50;;4,20;38,10;12,20;52,40;8,60;63,00;;42,20;42,00;22,70;96,19;1,06;0,61;0,25;47,88;6,24;;
134,00;69,00;235,40;447,80;34419,00;22151,00;22,80;0,00;(34218.1, 37413.8];42,80;41,50;44,20;Wyoming County, West Virginia;West Virginia;South;2,48;55,70;23,30;33,70;;3,60;46,00;4,50;34,60;10,10;54,60;38,30;36,70;49,90;28,70;97,73;0,78;0,00;0,13;54,04;6,02;;
164,00;73,00;206,00;467,90;42063,00;20148,00;17,80;0,00;(40362.7, 42724.4];51,40;49,70;53,30;Adams County, Wisconsin;Wisconsin;Midwest;2,47;50,90;21,50;44,60;;3,30;43,70;8,50;42,20;10,10;63,90;38,90;34,10;50,80;22,60;93,19;3,05;0,39;0,72;54,12;3,86;;
90,00;45,00;217,50;451,50;41294,00;15843,00;14,90;0,00;(40362.7, 42724.4];42,20;40,80;42,80;Ashland County, Wisconsin;Wisconsin;Midwest;2,29;45,90;8,90;31,30;;6,00;35,00;14,60;58,20;7,90;62,70;46,20;39,40;42,50;23,90;84,96;0,53;0,52;0,18;42,80;6,46;;
254,00;112,00;168,40;412,10;46375,00;45563,00;13,70;1097,38;(45201, 48021.6];43,90;42,00;45,60;Barron County, Wisconsin;Wisconsin;Midwest;2,35;55,80;15,60;44,40;;3,30;39,80;10,60;60,00;6,00;68,40;50,90;43,20;39,20;19,00;95,66;1,27;0,47;0,71;52,65;5,88;;
88,00;42,00;171,70;369,90;44395,00;14977,00;13,60;0,00;(42724.4, 45201];50,80;50,50;51,10;Bayfield County, Wisconsin;Wisconsin;Midwest;2,16;58,50;14,20;28,80;;4,50;30,20;18,90;54,10;7,20;65,90;;37,20;44,10;21,00;86,38;0,66;0,45;0,25;52,80;5,55;;
