"avgAnnCount"	"avgDeathsPerYear"	"TARGET_deathRate"	"incidenceRate"	"medIncome"	"popEst2015"	"povertyPercent"	"studyPerCap"	"binnedInc"	"MedianAge"	"MedianAgeMale"	"MedianAgeFemale"	"Geography"	"State"	"Region.CAT."	"AvgHouseholdSize"	"PercentMarried"	"PctNoHS18_24"	"PctHS18_24"	"PctSomeCol18_24"	"PctBachDeg18_24"	"PctHS25_Over"	"PctBachDeg25_Over"	"PctEmployed16_Over"	"PctUnemployed16_Over"	"PctPrivateCoverage"	"PctPrivateCoverageAlone"	"PctEmpPrivCoverage"	"PctPublicCoverage"	"PctPublicCoverageAlone"	"PctWhite"	"PctBlack"	"PctAsian"	"PctOtherRace"	"PctMarriedHouseholds"	"BirthRate"	"NOTINUSE1"	"NOTINUSE2"
1962.667684	27	191.5	453.5494221	67423	17019	10.7	0	"(61494.5, 125635]"	35.3	34.9	35.4	"Humboldt County, Nevada"	"Nevada"	"West"	2.74	51.6	31.9	40.2	NA	4.7	37.4	8.8	64.5	7.8	69.4	59.2	53.9	20.6	11.6	87.06275268	0.451163063	0.31640007	4.371008379	51.35794438	5.517423442	""	""
1962.667684	23	188.4	453.5494221	57243	9811	13.7	0	"(54545.6, 61494.5]"	39.4	38.4	40.3	"White Pine County, Nevada"	"Nevada"	"West"	2.71	44.8	23.9	47.1	NA	4.3	34.5	8.8	43.8	10.6	67.6	51.7	48.4	31.9	13.7	86.56506918	4.170844195	0.741929015	0.922398235	53.24756825	5.470459519	""	""
452	156	162.8	489.4	56008	75909	11.8	13.17366847	"(54545.6, 61494.5]"	42	41.4	42.5	"Cheshire County, New Hampshire"	"New Hampshire"	"Northeast"	2.34	48.4	6.1	24.1	60.9	9	33.8	19.4	62.2	6.1	75	60.3	55	28.7	12.7	95.68755724	0.730079812	1.17493131	0.392516028	48.86415562	4.687933426	""	""
1624	584	179.5	505.5	54208	274219	15.1	43.76064386	"(51046.4, 54545.6]"	40.6	38.9	42	"Atlantic County, New Jersey"	"New Jersey"	"Northeast"	2.64	45.1	12.3	32.4	45.8	9.4	32.9	17	58	12.5	66.9	49.9	45.3	33.4	17.7	67.14492185	15.56381093	8.286488292	5.106835745	44.80543715	4.69661296	""	""
2963	1039	182.8	530.9	61685	510923	13	972.7493184	"(61494.5, 125635]"	38.3	36.6	40.1	"Camden County, New Jersey"	"New Jersey"	"Northeast"	2.71	44.7	13.1	33.2	NA	11.6	31.3	19.4	59.6	10.2	68.3	55.7	51.4	31.9	18.6	63.28325501	19.40984144	5.58595932	8.484212829	45.97396038	5.434939238	""	""
28	10	164.7	375.5	33256	3456	22.2	0	"[22640, 34218.1]"	57.1	55.5	58.7	"Catron County, New Mexico"	"New Mexico"	"West"	2.44	49.4	0	24.1	NA	12	36.3	14.8	33.6	4.6	62.3	37.6	30.7	44.3	13.1	96.42757466	0.669829752	0.334914876	0.418643595	53.13626532	0.689655172	""	""
76	30	139.9	377.4	37156	12414	20.5	0	"(34218.1, 37413.8]"	47.6	46.9	48.4	"Colfax County, New Mexico"	"New Mexico"	"West"	2.26	48.3	25.5	31.3	NA	2.5	33.9	14.9	45.8	9.5	57.1	34.7	27.6	50	26.1	85.49665307	0.415480495	1.123336155	9.332922982	44.21204472	5.741042345	""	""
22	11	166.3	357	34304	4423	24.5	678.2726656	"(34218.1, 37413.8]"	41.8	40.6	42.4	"Hidalgo County, New Mexico"	"New Mexico"	"West"	2.47	46.1	23.7	48.5	27.2	0.7	31	9.3	50	12.2	42.7	27.4	23.4	51.9	35	91.21257807	0.258453586	0	5.104458324	44.58424508	5.485232068	""	""
117	41	123.4	363.9	39995	19420	20.1	1287.332647	"(37413.8, 40362.7]"	50.4	48.4	51.1	"Lincoln County, New Mexico"	"New Mexico"	"West"	2.33	52.2	24.2	26	NA	9	26.6	19.5	48.3	7.3	54.5	33.4	26.7	51.7	27.8	85.7006673	0.622146405	0.18062315	8.499322663	47.57636514	8.532518066	""	""
564	188	135.7	395.4	56142	139394	12.6	0	"(54545.6, 61494.5]"	469.2	37.6	40.1	"Sandoval County, New Mexico"	"New Mexico"	"West"	2.83	49.7	17.8	30.7	NA	2.9	25.9	16.6	55.1	9.2	63.8	NA	43.1	35.9	21.1	69.97175017	2.662509697	1.383948828	9.734480891	51.87665603	5.497053425	""	""
70	33	189.8	404.1	37548	12299	22.4	0	"(37413.8, 40362.7]"	44.7	43.2	46.6	"Lunenburg County, Virginia"	"Virginia"	"South"	2.48	45.7	21.3	31.4	NA	7.7	34.9	8.1	43.8	7.3	58.5	40.5	34.4	41.3	22.6	61.81716834	34.03408186	0.286669852	1.727982163	47.05491585	7.48049564	""	""
100	43	206.9	525.6	48921	10606	14.4	94.28625306	"(48021.6, 51046.4]"	52.7	51	53.7	"Middlesex County, Virginia"	"Virginia"	"South"	2.38	54.4	4.4	27.8	NA	2.7	32.5	15.3	47.5	6.3	77.6	50.6	39.9	39.2	12.3	79.43454325	19.2964449	0	0.279929085	53.80009212	2.71468144	""	""
44	17	149.6	401.1	62800	7378	9.3	0	"(61494.5, 125635]"	49.1	48.9	49.2	"Rappahannock County, Virginia"	"Virginia"	"South"	2.26	63.9	13.1	47.2	NA	3.7	25.6	19.9	57	2.9	68.1	50.5	39.9	31.5	13.1	92.38325932	4.185170233	0.807428341	0.309514197	58.75343721	5.182481752	""	""
40	17	182.2	426.5	48707	6709	12.9	0	"(48021.6, 51046.4]"	47.5	47.1	47.8	"Surry County, Virginia"	"Virginia"	"South"	2.56	53.2	25.8	44	NA	14	29.2	15.4	56.2	10.7	65.2	50.4	42.3	31.4	17.1	52.39630661	45.06815184	0.820753334	0.747471787	53.5982009	4.897660819	""	""
312	136	176.7	420.8	43353	54591	14.5	36.63607554	"(42724.4, 45201]"	44.7	43.2	46.1	"Washington County, Virginia"	"Virginia"	"South"	2.35	53.9	11.1	34.4	NA	8.8	32.9	14.4	53.6	6.9	67.4	49.3	41.5	37.7	17.7	96.45720338	1.490166	0.555159882	0.500374368	52.00899749	5.091597145	""	""
709	270	190.3	491.9	47615	136454	15.2	168.5549709	"(45201, 48021.6]"	35.4	33.3	38	"Hampton city, Virginia"	"Virginia"	"South"	2.51	41	8.8	28.3	NA	7.6	27.3	14.9	55.2	9.8	69.5	51.7	39.1	31.6	16.4	42.82139757	50.08352726	2.309583385	1.149685223	39.69588213	4.72938218	""	""
391	165	194.5	495	40065	79812	25	388.41277	"(37413.8, 40362.7]"	28.7	27	30.4	"Lynchburg city, Virginia"	"Virginia"	"South"	2.37	35.6	5.4	21.9	NA	10.7	25.1	19.9	53.1	8	69.1	54.9	45.1	30.4	16.3	65.07075411	28.4436654	2.844238594	0.7497633	37.78393158	5.96087761	""	""
162	63	186.6	511.5	54195	25432	10.2	432.5259516	"(51046.4, 54545.6]"	40.5	40.1	40.9	"Salem city, Virginia"	"Virginia"	"South"	2.29	47.3	7	23.8	60.9	8.4	29.8	17.1	59.7	4.8	75.1	59.3	53.7	27.2	13.3	88.11047089	7.792569044	2.074309557	0.596065965	46.2518666	4.609250399	""	""
575	235	181.3	480.2	47185	73486	16.2	136.0803418	"(45201, 48021.6]"	50.1	47.8	52.1	"Clallam County, Washington"	"Washington"	"West"	2.27	50.5	20.7	34.4	NA	4	27.9	14.8	45.3	9.9	63.5	NA	33.1	45.6	21	88.08928547	0.917165076	1.480724339	0.821857259	47.16324511	5.956137583	""	""
30	14	194.4	476.2	45465	3944	15.5	0	"(45201, 48021.6]"	49.5	47.7	50.9	"Columbia County, Washington"	"Washington"	"West"	2.31	52.4	6.6	31.4	60.2	1.8	27.5	16.3	46.2	10.4	60.7	38.5	27.8	50.6	26.2	91.75231888	0.350965154	0.551516671	3.359237904	51.06761566	5.205479452	""	""
194	70	157.4	449.9	51151	40534	15.5	24.67064686	"(51046.4, 54545.6]"	37	36.1	38.3	"Douglas County, Washington"	"Washington"	"West"	2.76	58.1	18.9	38.9	40.4	1.8	27.7	12.8	59.7	6.5	55.3	41.1	37.2	40.7	26	73.33771055	0.3409177	0.742442991	21.15709993	59.49197861	4.643274854	""	""
523	229	178.6	413.5	57088	108801	9.8	9.191091994	"(54545.6, 61494.5]"	41	39.6	42.6	"Eaton County, Michigan"	"Michigan"	"Midwest"	2.45	52.1	11.7	32.8	NA	10.6	29.7	16.1	58.8	7.8	76.5	57.7	53.4	32.3	13.6	87.12398815	6.392778357	1.973398806	1.423283891	50.74257426	5.808302127	""	""
219	86	168.3	447.1	43509	41540	18.5	0	"(42724.4, 45201]"	38.9	37.4	41.5	"Gratiot County, Michigan"	"Michigan"	"Midwest"	2.45	47.1	11.3	39.2	NA	3.8	41.1	8.6	46.5	8.5	68	50.6	46.5	38.7	19.5	91.09795119	5.635417164	0.377286403	0.711590811	51.59010601	3.748722027	""	""
1352	435	165.5	514.9	45840	286085	20.1	443.9240086	"(45201, 48021.6]"	31.5	30.6	32.7	"Ingham County, Michigan"	"Michigan"	"Midwest"	2.4	38.8	5.9	16.7	NA	12.1	21.6	20.4	57.3	9	72.7	NA	52	31.3	16.7	75.50680621	11.15097128	5.676723423	1.772190299	38.80436161	4.499226458	""	""
1199	454	171	464.2	46283	260263	18.9	810.7183887	"(45201, 48021.6]"	34	32.6	35.5	"Kalamazoo County, Michigan"	"Michigan"	"Midwest"	2.47	44.3	7.1	20.4	NA	11.2	23.1	21	59.6	9.1	73.4	58.5	52.1	31	15.6	81.6313018	10.97128747	2.321695644	0.716644856	44.01690236	4.426449927	""	""
103	45	200.7	469.6	40709	17260	17.4	0	"(40362.7, 42724.4]"	44.4	43.4	45.4	"Kalkaska County, Michigan"	"Michigan"	"Midwest"	2.38	54.4	19.9	41	NA	3.4	42.4	8.2	48.7	10.4	60.6	NA	35.8	45	22.1	96.25652931	0.684852002	0.429483459	0.249564713	50.21572721	4.369071572	""	""
2809	965	160.2	473.3	53342	636369	15.3	414.8536462	"(51046.4, 54545.6]"	34.8	33.9	35.8	"Kent County, Michigan"	"Michigan"	"Midwest"	2.63	49.2	13.2	26.7	NA	12.4	25.5	21.8	63.4	7.7	72.2	59.5	53.6	29.7	16.4	81.24174818	9.722771005	2.499076439	2.608618834	49.44003503	5.98333118	""	""
492	189	186.7	484.6	51510	88373	11.1	135.7880801	"(51046.4, 54545.6]"	43.3	42.6	44	"Lapeer County, Michigan"	"Michigan"	"Midwest"	2.64	57.1	15	37.2	NA	4.7	37.1	11.2	53	10.5	74.7	56	50.2	33.3	14	95.75225251	1.271604239	0.470334901	0.595001983	59.89229545	5.407671348	""	""
512	217	177.6	425.8	48194	98573	14.5	649.2650117	"(48021.6, 51046.4]"	40.9	39	42.8	"Lenawee County, Michigan"	"Michigan"	"Midwest"	2.46	50	14	31.4	NA	4.5	36.7	12.7	54	8.6	71.5	53	47.6	36.3	17.5	92.37831389	2.645042567	0.287152939	1.528786071	50.8534401	4.630064868	""	""
134	62	177	402.9	35968	20937	21.4	0	"(34218.1, 37413.8]"	49	48.5	49.8	"Ogemaw County, Michigan"	"Michigan"	"Midwest"	2.22	54.7	28.6	27.9	38.8	4.7	40.9	7.5	43.2	12.4	60.1	36.1	31.5	51	24.2	96.80049006	0.310998021	0.560738856	0.259165017	49.31100276	6.505717916	""	""
228	97	201.8	496.9	35002	23898	20.7	0	"(34218.1, 37413.8]"	54.4	53.9	54.8	"Roscommon County, Michigan"	"Michigan"	"Midwest"	2.06	53.8	19.4	33.6	NA	3.1	38.9	9.1	36.2	14.2	60.7	31.4	27	56	22.8	96.82566063	0.199434934	0.274223035	0.091407678	46.59100754	5.928954766	""	""
953	382	189.5	488	50303	159875	13.8	500.3909304	"(48021.6, 51046.4]"	42.8	41.8	43.8	"St. Clair County, Michigan"	"Michigan"	"Midwest"	2.47	53.7	16.7	36.3	NA	5.1	35.3	11	54.1	10.4	71.2	53	47.2	36.1	17	93.62646404	2.202843626	0.625198686	0.645145204	52.59030604	4.646092865	""	""
293	134	178.9	404.4	43687	61018	18.5	0	"(42724.4, 45201]"	39.2	38.1	40	"St. Joseph County, Michigan"	"Michigan"	"Midwest"	2.59	54	25.2	40.9	NA	4.6	38.9	9	55.6	8.6	66.2	50.2	45.1	37.9	20.3	92.14873324	2.76457671	0.634197503	2.015666481	53.0124624	7.077326343	""	""
1962.667684	79	162.6	453.5494221	43706	45672	18.5	1050.972149	"(42724.4, 45201]"	33.3	31.8	34.7	"Beltrami County, Minnesota"	"Minnesota"	"Midwest"	2.59	44.2	12.8	24.7	NA	6.9	26.1	17.4	58.5	10.6	58.6	45.4	39.6	40.5	26.1	74.08988863	0.818770084	0.87159396	0.261918387	44.60242547	6.561704535	""	""
1962.667684	63	155.3	453.5494221	52531	39710	13.6	0	"(51046.4, 54545.6]"	35.4	35.3	35.6	"Benton County, Minnesota"	"Minnesota"	"Midwest"	2.45	50.6	12.6	27	52.4	8	32.1	15.2	66	6.7	71.5	NA	51.3	32.2	18	94.31427042	2.325284924	1.132046608	0.117284108	48.05527124	7.207014542	""	""
282	100	181.4	522	48357	48494	13.8	41.24221553	"(48021.6, 51046.4]"	36.1	35.7	36.4	"Cortland County, New York"	"New York"	"Northeast"	2.54	42.2	3.5	18.1	71.1	7.2	34.7	13.4	59.6	6.1	75.3	59.5	54.3	31.6	15.4	94.28868544	1.765797362	0.913484085	0.776869278	45.19096738	3.084671073	""	""
398	150	194	524.4	35991	58106	22.1	722.8169208	"(34218.1, 37413.8]"	42.1	39.9	43.9	"Lenoir County, North Carolina"	"North Carolina"	"South"	2.47	44	21.5	37.7	NA	2.3	31.8	8.8	51.1	13.1	53.2	NA	30.1	45.3	24.7	55.20397401	40.24531319	0.634547991	1.568507366	41.64131133	6.174096999	""	""
3590	1216	158.6	451	59049	1034070	15.2	307.5227016	"(54545.6, 61494.5]"	34.5	33.4	35.6	"Mecklenburg County, North Carolina"	"North Carolina"	"South"	2.57	45.3	14.7	25	44.8	15.5	19.1	28.4	65.3	8.9	67.9	58.5	50.5	24.6	15.4	56.67573474	30.94009016	5.166880746	4.078914417	43.17563049	5.350191695	""	""
1007	387	164	442.6	49905	220358	18	154.2943755	"(48021.6, 51046.4]"	37.8	36.4	39.3	"New Hanover County, North Carolina"	"North Carolina"	"South"	2.33	45.8	8.9	23.8	NA	11.5	22.1	24.7	59	8.9	70	54.8	43.5	29.1	14.2	81.05175723	14.36475496	1.383446509	1.007081482	43.02116444	4.936553568	""	""
82	33	159.5	400	41328	13440	17.1	0	"(40362.7, 42724.4]"	47.8	46.8	48.4	"Perquimans County, North Carolina"	"North Carolina"	"South"	2.44	56.7	8	61.1	NA	5.2	35	12.3	43.9	12.7	58.3	33.6	24.2	46.5	22	73.02563343	24.27026226	0.01481701	0.392650763	53.49090909	7.827059262	""	""
230	98	198.1	477.8	45841	39259	18.7	0	"(45201, 48021.6]"	508.8	41.5	43.4	"Person County, North Carolina"	"North Carolina"	"South"	2.52	47.6	22.2	28	44.7	5.1	35.5	11.3	53	11.9	60	45.4	37.9	39.3	22.3	68.76623707	27.37761703	0.430441648	1.533289185	45.40726776	6.140350877	""	""
689	255	171.8	457.6	41765	175842	23.4	244.53771	"(40362.7, 42724.4]"	31.5	30.3	32.5	"Pitt County, North Carolina"	"North Carolina"	"South"	2.48	39.6	7.3	17.2	NA	10.8	25.2	19.1	57.6	12.1	66.2	55.2	45	28.9	17.5	58.67961657	34.14711332	1.701975857	2.905096721	39.1929128	4.079871327	""	""
144	58	156.1	423.9	45464	20366	14.7	0	"(45201, 48021.6]"	50.9	48.9	53.4	"Polk County, North Carolina"	"North Carolina"	"South"	2.3	56.1	15	30.2	45.7	9.2	27.2	18.6	48	8.8	68	45.1	35.6	41.3	17.1	91.42519801	5.086830324	0.122989128	1.972745609	53.52258361	4.746227709	""	""
401	163	174.8	443.9	35629	66390	21.5	1581.563488	"(34218.1, 37413.8]"	43.3	41.9	45	"Rutherford County, North Carolina"	"North Carolina"	"South"	2.48	50.4	26.7	32.1	NA	5.9	31.8	10.4	46	12.2	53.4	38.1	31.5	45.6	26.6	85.35108054	10.18320497	0.595229193	2.096762133	50.04540982	5.963398511	""	""
93	39	215.3	516.6	34788	14434	19.3	0	"(34218.1, 37413.8]"	40.7	40.1	41.3	"Swain County, North Carolina"	"North Carolina"	"South"	2.58	49.5	13.9	34.8	NA	4.4	31.2	10.7	49.4	7.7	51.9	37.3	30.7	39.4	22.6	64.63319918	1.525100614	0.529548824	0.473063616	49.22848113	5.56091289	""	""
24	13	222.3	431	32773	4070	28.3	0	"[22640, 34218.1]"	44.4	41.8	49.3	"Tyrrell County, North Carolina"	"North Carolina"	"South"	2.45	42.5	28.1	40.7	31.2	0	37.1	3.9	38	14.1	50.1	31.8	19.8	46.5	23	59.89884393	30.39499037	2.817919075	4.359344894	47.13990351	7.088989442	""	""
257	106	198.5	490.4	33609	44568	27	112.188117	"[22640, 34218.1]"	40	37.6	41.4	"Vance County, North Carolina"	"North Carolina"	"South"	2.65	37.7	27.2	40.1	31.9	0.9	37.6	8.2	49.6	12.2	50.1	31.6	25.8	47.3	28.7	43.62800866	49.60405095	0.455062571	4.079948248	36.87986015	6.678752027	""	""
17	6	140	405.2	45710	2359	10.2	0	"(45201, 48021.6]"	47.6	46.1	49.8	"Adams County, North Dakota"	"North Dakota"	"Midwest"	2.14	66.7	10.8	38.4	NA	8.6	35.1	18.1	64.7	1.2	78.8	56.7	41.6	31.9	11.3	93.25074754	1.324220419	1.238786843	0.55531824	60.82474227	4.047619048	""	""
18	8	147.3	385.4	39679	2388	16.1	0	"(37413.8, 40362.7]"	53.6	53.7	53.6	"Grant County, North Dakota"	"North Dakota"	"Midwest"	2.05	62.6	26.1	41.3	20.7	12	38.2	13.7	59.8	3.4	77.1	52.9	29.7	35.5	11.6	97.45977985	0.33869602	0	0.423370025	55.1056338	7.277628032	""	""
42	17	196.8	485.1	66807	10331	9.3	0	"(61494.5, 125635]"	34.8	34.5	35.5	"Mountrail County, North Dakota"	"North Dakota"	"Midwest"	2.83	46.1	24.4	37.6	NA	2.7	29.7	17.6	64.9	4.7	72.8	NA	49.7	19.7	7.9	66.1082892	0.118880363	0.670052956	0.572787204	49.78165939	5.573419078	""	""
53	19	158	475.3	58995	8014	8.9	0	"(54545.6, 61494.5]"	41.4	39.9	43.1	"Traill County, North Dakota"	"North Dakota"	"Midwest"	2.35	54.6	6.5	19.6	NA	5.1	25.2	19.5	63	2.7	83.1	64.9	53	28.2	10.4	96.3724155	0.58189922	0.259997524	0.272378358	51.40329469	4.19412822	""	""
146	66	167.6	380.4	36964	27704	17.9	0	"(34218.1, 37413.8]"	44.2	43.7	44.9	"Carroll County, Arkansas"	"Arkansas"	"South"	2.49	56.1	23	45.9	NA	4.2	35	10.5	51.9	6.2	54.4	37.9	32	43.8	24.3	94.36222182	0.564501538	0.383571558	0.933598697	54.6597431	6.345497034	""	""
53	28	250	472.7	34018	7604	21	0	"[22640, 34218.1]"	43.4	41.4	45.3	"Dallas County, Arkansas"	"Arkansas"	"South"	2.26	52.3	22.1	43.5	NA	0.6	50.5	9.4	48.6	8.3	55.1	NA	36.3	44.5	24.9	55.42704626	41.21759024	2.249618709	0.686324352	46.49014778	1.704199635	""	""
73	31	186.9	455.6	33028	11965	27.3	0	"[22640, 34218.1]"	39.4	39.5	39.3	"Desha County, Arkansas"	"Arkansas"	"South"	2.33	44.2	21.4	45.8	32.3	0.5	40.4	7.5	45.2	17.7	44	30.1	25.2	52.5	32.7	49.88286614	48.05719363	0.056547379	0.807819695	38.22078907	5.621925509	""	""
455	173	174	449	51436	121552	14.7	0	"(51046.4, 54545.6]"	31.6	31.1	32.1	"Faulkner County, Arkansas"	"Arkansas"	"South"	2.65	49	8.7	23.8	NA	10.9	30.6	18	61	6.6	69	NA	44.6	29	16.4	84.09626036	11.30187778	1.271126082	1.045725346	51.07628923	4.772020566	""	""
665	292	196.4	464.4	40621	97177	18.7	421.9105344	"(40362.7, 42724.4]"	44.1	42.4	45.6	"Garland County, Arkansas"	"Arkansas"	"South"	2.35	50.9	17.1	34.8	43.6	4.5	32.2	13.2	50.2	9.2	56.3	37.6	30.2	44.6	23.6	85.25692596	8.349320296	0.63122718	3.033397281	47.04144949	3.943233157	""	""
435	175	204.1	502.1	35927	71565	26.8	27.94662195	"(34218.1, 37413.8]"	38.5	36.3	40.4	"Jefferson County, Arkansas"	"Arkansas"	"South"	2.41	40	13	33.2	NA	3.6	38.7	11.5	48.3	11.2	56.5	41.5	35.4	44.2	27.1	41.5007886	55.58410834	0.80763583	0.697503671	38.21259647	4.806902219	""	""
